id,Humidity,Temperature,,,,,
885,66.7,29.3,,,,,
886,66.6,29.3,,,,,
887,67,29.3,,,,,
888,67.1,29.3,,,,,
889,67.1,29.3,,,,,
890,67.1,29.3,,,,,
891,66.9,29.3,,,,,
892,66.8,29.3,,,,,
893,66.7,29.3,,,,,
894,66.6,29.3,,,,,
895,66.4,29.3,,,,,
896,66.3,29.3,,,,,
897,66.2,29.3,,,,,
898,66.2,29.3,,,,,
899,66.1,29.3,,,,,
900,66.1,29.3,,,,,
901,66.2,29.2,,,,,
902,66.2,29.3,,,,,
903,66.2,29.3,,,,,
904,66.2,29.3,,,,,
905,66.3,29.4,,,,,
906,66.3,29.4,,,,,
907,66.3,29.4,,,,,
908,66.3,29.4,,,,,
909,66.4,29.4,,,,,
910,66.4,29.4,,,,,
911,66.4,29.4,,,,,
912,66.3,29.5,,,,,
913,66.2,29.5,,,,,
914,66.2,29.4,,,,,
915,66.1,29.5,,,,,
916,66.2,29.5,,,,,
917,66.1,29.5,,,,,
918,66.2,29.5,,,,,
919,66.2,29.6,,,,,
920,66.2,29.5,,,,,
921,66.2,29.6,,,,,
922,66.2,29.6,,,,,
923,66.3,29.6,,,,,
924,66.3,29.7,,,,,
925,66.3,29.7,,,,,
926,66.3,29.7,,,,,
927,66.3,29.7,,,,,
928,66.3,29.7,,,,,
929,66.1,29.8,,,,,
930,66.1,29.8,,,,,
931,66,29.8,,,,,
932,66.1,29.8,,,,,
933,66.1,29.9,,,,,
934,66,29.9,,,,,
935,65.9,29.9,,,,,
936,65.8,29.8,,,,,
937,65.8,29.8,,,,,
938,65.7,29.9,,,,,
939,65.6,29.9,,,,,
940,65.6,29.9,,,,,
941,65.5,29.8,,,,,
942,65.4,29.9,,,,,
943,65.4,29.8,,,,,
944,65.3,29.8,,,,,
945,65.3,29.9,,,,,
946,65.3,29.9,,,,,
947,65.3,29.9,,,,,
948,65.3,29.9,,,,,
949,65.3,29.9,,,,,
950,65.3,29.9,,,,,
951,65.3,29.9,,,,,
952,65.3,29.9,,,,,
953,65.3,29.9,,,,,
954,65.1,29.9,,,,,
955,65.1,29.9,,,,,
956,65,29.9,,,,,
957,64.9,29.9,,,,,
958,64.7,29.9,,,,,
959,64.7,29.9,,,,,
960,64.7,29.8,,,,,
961,64.7,29.9,,,,,
